frequency_mhz,qualification,mapping,format,width,height,bits_per_pixel,mode,background_direction,deadline_guard_cycles,deadline_guard_us,background_offered_mb_s,safe,mandatory_deadline_misses,mandatory_min_service_pct,background_service_pct,published_frames,failed_captures,replay_safe_frames,replay_underruns,video_min_slack_us,video_max_wait_us,audio_deadline_misses,effective_mb_s,dq_util_pct,observed_idle_mb_s,unserved_words,dq_turnarounds,activates
120.0,board-acceptance,row-chip-bank-column,1080p8,1920,1080,8,replay,write,2048,17.066666666666666,0.0,1,0,99.58847736625515,100,0,0,1,0,30.608333333333334,0.11666666666666667,0,124.288,51.78666666666667,115.712,256,2,186
120.0,board-acceptance,stripe-1k-bank-chip,1080p8,1920,1080,8,replay,write,2048,17.066666666666666,0.0,1,0,99.58847736625515,100,0,0,1,0,30.466666666666665,0.16666666666666666,0,124.288,51.78666666666667,115.712,256,2,227
120.0,board-acceptance,stripe-1k-chip-bank,1080p8,1920,1080,8,replay,write,2048,17.066666666666666,0.0,1,0,99.58847736625515,100,0,0,1,0,30.466666666666665,0.16666666666666666,0,124.288,51.78666666666667,115.712,256,2,231
120.0,board-acceptance,chip-row-bank-column,720p16,1280,720,16,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,31.775,18.216666666666665,0,110.976,46.24,129.024,0,23,182
120.0,board-acceptance,linear,720p16,1280,720,16,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,34.775,18.325,0,110.976,46.24,129.024,0,23,178
120.0,board-acceptance,row-bank-chip-column,720p16,1280,720,16,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,31.775,15.925,0,110.976,46.24,129.024,0,23,181
120.0,board-acceptance,row-chip-bank-column,720p16,1280,720,16,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,31.775,18.216666666666665,0,110.976,46.24,129.024,0,23,188
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,31.775,18.025,0,110.976,46.24,129.024,0,23,215
120.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,capture,write,2048,17.066666666666666,0.0,1,0,100.0,100,1,0,0,0,31.775,16.125,0,110.976,46.24,129.024,0,23,219
120.0,board-acceptance,chip-row-bank-column,720p16,1280,720,16,replay,write,2048,17.066666666666666,0.0,1,0,99.53703703703704,100,0,0,1,0,30.425,0.16666666666666666,0,110.464,46.026666666666664,129.536,256,2,179
120.0,board-acceptance,linear,720p16,1280,720,16,replay,write,2048,17.066666666666666,0.0,1,0,99.53703703703704,100,0,0,1,0,34.7,0.09166666666666666,0,110.464,46.026666666666664,129.536,256,2,180
120.0,board-acceptance,row-bank-chip-column,720p16,1280,720,16,replay,write,2048,17.066666666666666,0.0,1,0,99.53703703703704,100,0,0,1,0,34.708333333333336,0.16666666666666666,0,110.464,46.026666666666664,129.536,256,2,178
120.0,board-acceptance,row-chip-bank-column,720p16,1280,720,16,replay,write,2048,17.066666666666666,0.0,1,0,99.53703703703704,100,0,0,1,0,34.708333333333336,0.16666666666666666,0,110.464,46.026666666666664,129.536,256,2,182
120.0,board-acceptance,stripe-1k-bank-chip,720p16,1280,720,16,replay,write,2048,17.066666666666666,0.0,1,0,99.53703703703704,100,0,0,1,0,34.708333333333336,0.16666666666666666,0,110.464,46.026666666666664,129.536,256,2,214
120.0,board-acceptance,stripe-1k-chip-bank,720p16,1280,720,16,replay,write,2048,17.066666666666666,0.0,1,0,99.53703703703704,100,0,0,1,0,34.708333333333336,0.16666666666666666,0,110.464,46.026666666666664,129.536,256,2,214
130.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,11.6,16.83076923076923,0,249.216,95.85230769230769,10.784,0,23,339
130.0,board-acceptance,linear,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,13.784615384615385,16.93076923076923,0,249.216,95.85230769230769,10.784,0,23,258
130.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,11.6,16.523076923076925,0,249.216,95.85230769230769,10.784,0,23,319
130.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,11.6,16.83076923076923,0,249.216,95.85230769230769,10.784,0,23,326
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,11.6,16.676923076923078,0,249.216,95.85230769230769,10.784,0,23,492
130.0,board-acceptance,stripe-1k-chip-bank,1080p16,1920,1080,16,capture,write,2048,15.753846153846155,0.0,1,0,100.0,100,1,0,0,0,11.6,16.66923076923077,0,249.216,95.85230769230769,10.784,0,23,506
130.0,board-acceptance,chip-row-bank-column,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,0.0,1,0,99.78620113168725,100,0,0,1,0,14.3,0.16923076923076924,0,248.684,95.64769230769231,11.316,266,2,262
130.0,board-acceptance,linear,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,0.0,1,0,99.78539737654322,100,0,0,1,0,14.261538461538462,0.14615384615384616,0,248.67817418193567,95.64545160843679,11.321825818064337,267,2,260
130.0,board-acceptance,row-bank-chip-column,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,0.0,1,0,99.79423868312757,100,0,0,1,0,14.3,0.16923076923076924,0,248.704,95.65538461538462,11.296,256,2,257
130.0,board-acceptance,row-chip-bank-column,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,0.0,1,0,99.78620113168725,100,0,0,1,0,14.261538461538462,0.16923076923076924,0,248.684,95.64769230769231,11.316,266,2,260
130.0,board-acceptance,stripe-1k-bank-chip,1080p16,1920,1080,16,replay,write,2048,15.753846153846155,0.0,1,0,99.78620113168725,100,0,0,1,0,14.307692307692308,0.15384615384615385,0,248.684,95.64769230769231,11.316,266,2,384
