frequency_mhz,duration_us,mapping,refill_grant_words,refresh_phase,refresh_stagger_cycles,deadline_guard_cycles,deadline_guard_us,deadline_misses,scanout_deadline_misses,scanout_max_lateness_us,first_missed_deadline_us,last_missed_deadline_us,frame_write_deadline_misses,incomplete_frames,scanout_min_slack_us,scanout_max_wait_us,frame_write_max_wait_us,audio_write_max_wait_us,effective_mb_s,dq_util_pct,unserved_words,dq_turnarounds,activates,precharges,refresh_command_cycles
130,16666.666666666668,stripe-1k-bank-chip,256,three-quarter,760,32,0.24615384615384617,95,95,6.492307692307692,3532.9846153846156,12953.553846153845,0,0,-6.492307692307692,41.06153846153846,47.26923076923077,43.246153846153845,221.5373481653379,85.2066723712838,256,7116,7947,7947,4272
130,16666.666666666668,stripe-1k-bank-chip,256,aligned,0,64,0.49230769230769234,29,29,6.492307692307692,12949.507692307692,12953.553846153845,0,0,-6.492307692307692,40.97692307692308,41.06923076923077,41.13076923076923,221.5373481653379,85.2066723712838,256,7196,7749,7748,4272
130,16666.666666666668,stripe-1k-bank-chip,256,quarter,253,64,0.49230769230769234,126,126,6.6692307692307695,2865.8846153846152,13703.553846153845,0,0,-6.6692307692307695,41.02307692307692,41.11538461538461,41.176923076923075,221.5373481653379,85.2066723712838,256,7094,7981,7980,4272
130,16666.666666666668,stripe-1k-bank-chip,256,half,507,64,0.49230769230769234,29,29,6.492307692307692,12949.507692307692,12953.553846153845,0,0,-6.492307692307692,40.97692307692308,41.06923076923077,41.13076923076923,221.5373481653379,85.2066723712838,256,7184,7771,7771,4272
130,16666.666666666668,stripe-1k-bank-chip,256,three-quarter,760,64,0.49230769230769234,95,95,6.492307692307692,3532.9846153846156,12953.553846153845,0,0,-6.492307692307692,41.06153846153846,47.26923076923077,43.246153846153845,221.5373481653379,85.2066723712838,256,7116,7947,7947,4272
130,16666.666666666668,stripe-1k-bank-chip,256,aligned,0,128,0.9846153846153847,29,29,6.492307692307692,12949.507692307692,12953.553846153845,0,0,-6.492307692307692,40.97692307692308,41.06923076923077,41.13076923076923,221.5373481653379,85.2066723712838,256,7196,7749,7748,4272
130,16666.666666666668,stripe-1k-bank-chip,256,quarter,253,128,0.9846153846153847,126,126,6.6692307692307695,2865.8846153846152,13703.553846153845,0,0,-6.6692307692307695,41.02307692307692,41.11538461538461,41.176923076923075,221.5373481653379,85.2066723712838,256,7094,7981,7980,4272
130,16666.666666666668,stripe-1k-bank-chip,256,half,507,128,0.9846153846153847,29,29,6.492307692307692,12949.507692307692,12953.553846153845,0,0,-6.492307692307692,40.97692307692308,41.06923076923077,41.13076923076923,221.5373481653379,85.2066723712838,256,7184,7771,7771,4272
130,16666.666666666668,stripe-1k-bank-chip,256,three-quarter,760,128,0.9846153846153847,95,95,6.492307692307692,3532.9846153846156,12953.553846153845,0,0,-6.492307692307692,41.06153846153846,47.26923076923077,43.246153846153845,221.5373481653379,85.2066723712838,256,7116,7947,7947,4272
130,16666.666666666668,stripe-1k-bank-chip,256,aligned,0,256,1.9692307692307693,0,0,0.0,,,0,0,1.3153846153846154,33.16923076923077,35.292307692307695,35.23076923076923,221.5373481653379,85.2066723712838,256,7200,7737,7736,4272
130,16666.666666666668,stripe-1k-bank-chip,256,quarter,253,256,1.9692307692307693,42,42,5.507692307692308,5534.715384615384,13703.553846153845,0,0,-5.507692307692308,41.02307692307692,41.11538461538461,41.176923076923075,221.5373481653379,85.2066723712838,256,7106,7940,7939,4272
130,16666.666666666668,stripe-1k-bank-chip,256,half,507,256,1.9692307692307693,0,0,0.0,,,0,0,1.3153846153846154,33.16923076923077,35.353846153846156,35.23076923076923,221.5373481653379,85.2066723712838,256,7188,7757,7757,4272
130,16666.666666666668,stripe-1k-bank-chip,256,three-quarter,760,256,1.9692307692307693,38,38,5.915384615384616,4867.330769230769,7536.892307692307,0,0,-5.915384615384616,41.06153846153846,47.26923076923077,43.246153846153845,221.5373481653379,85.2066723712838,256,7124,7920,7920,4272
130,16666.666666666668,stripe-1k-bank-chip,256,aligned,0,512,3.9384615384615387,0,0,0.0,,,0,0,1.3153846153846154,33.16923076923077,35.292307692307695,35.23076923076923,221.5373481653379,85.2066723712838,256,7200,7737,7736,4272
130,16666.666666666668,stripe-1k-bank-chip,256,quarter,253,512,3.9384615384615387,0,0,0.0,,,0,0,1.146153846153846,33.23076923076923,35.33076923076923,35.26923076923077,221.5373481653379,85.2066723712838,256,7118,7901,7900,4272
130,16666.666666666668,stripe-1k-bank-chip,256,half,507,512,3.9384615384615387,0,0,0.0,,,0,0,1.3153846153846154,33.16923076923077,35.353846153846156,35.23076923076923,221.5373481653379,85.2066723712838,256,7188,7757,7757,4272
130,16666.666666666668,stripe-1k-bank-chip,256,three-quarter,760,512,3.9384615384615387,0,0,0.0,,,0,0,1.3153846153846154,33.261538461538464,39.46923076923077,35.44615384615385,221.5373481653379,85.2066723712838,256,7144,7863,7863,4272
130,16666.666666666668,stripe-1k-bank-chip,256,aligned,0,1024,7.876923076923077,0,0,0.0,,,0,0,1.3153846153846154,33.16923076923077,35.292307692307695,35.23076923076923,221.5373481653379,85.2066723712838,256,7200,7737,7736,4272
130,16666.666666666668,stripe-1k-bank-chip,256,quarter,253,1024,7.876923076923077,0,0,0.0,,,0,0,1.146153846153846,33.23076923076923,35.33076923076923,35.26923076923077,221.5373481653379,85.2066723712838,256,7118,7901,7900,4272
130,16666.666666666668,stripe-1k-bank-chip,256,half,507,1024,7.876923076923077,0,0,0.0,,,0,0,1.3153846153846154,33.16923076923077,35.353846153846156,35.23076923076923,221.5373481653379,85.2066723712838,256,7188,7757,7757,4272
130,16666.666666666668,stripe-1k-bank-chip,256,three-quarter,760,1024,7.876923076923077,0,0,0.0,,,0,0,1.3153846153846154,33.261538461538464,39.46923076923077,35.44615384615385,221.5373481653379,85.2066723712838,256,7144,7863,7863,4272
